,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
505,ihosy,-22.4,46.1167,71.37,87,89,5.26,MG,1612151812
506,port%20elizabeth,-33.918,25.5701,66.2,77,40,16.11,ZA,1612151663
507,faanui,-16.4833,-151.75,80.89,75,78,10.6,PF,1612151812
508,clyde%20river,70.4692,-68.5914,-4.0,84,90,23.02,CA,1612151805
509,puerto%20ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612151735
510,sosnovo-ozerskoye,52.5249,111.5418,-26.14,84,78,10.18,RU,1612151812
511,port%20hardy,50.6996,-127.4199,42.8,100,90,4.61,CA,1612151806
512,port%20hedland,-20.3167,118.5667,78.8,100,90,23.02,AU,1612151749
513,puerto%20ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612151735
514,mangrol,21.1167,70.1167,72.32,25,0,8.99,IN,1612151813
515,pindiga,9.9833,10.9333,67.42,26,0,6.02,NG,1612151813
516,paso%20de%20los%20toros,-32.8167,-56.5167,69.48,81,99,16.82,UY,1612151813
517,finale%20ligure,44.1695,8.3436,48.2,100,75,11.5,IT,1612151813
518,nechi,8.0942,-74.7757,76.01,82,95,1.34,CO,1612151813
519,nianzishan,47.5167,122.8833,-3.6,83,69,9.35,CN,1612151814
520,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
521,baraboo,43.4711,-89.7443,28.4,93,90,6.98,US,1612151814
522,honiara,-9.4333,159.95,82.27,79,81,15.77,SB,1612151814
523,namatanai,-3.6667,152.4333,83.52,77,75,7.85,PG,1612151535
524,cabo%20san%20lucas,22.8909,-109.9124,66.0,88,20,1.43,MX,1612151763
525,talara,-4.5772,-81.2719,74.5,82,96,15.84,PE,1612151815
526,norman%20wells,65.282,-126.8329,-23.8,76,75,5.75,CA,1612151731
527,tiznit,29.5833,-9.5,59.41,53,0,0.51,MA,1612151815
528,bambous%20virieux,-20.3428,57.7575,82.4,74,40,11.5,MU,1612151755
529,togur,58.3631,82.8265,-14.69,87,80,4.41,RU,1612151815
530,port%20alfred,-33.5906,26.891,66.99,85,89,5.01,ZA,1612151746
531,muros,42.7762,-9.0603,57.99,84,81,5.99,ES,1612151815
532,ballina,-28.8667,153.5667,82.4,57,40,12.66,AU,1612151816
533,muroto,33.2833,134.15,51.8,66,75,9.22,JP,1612151816
534,rawson,-43.3002,-65.1023,69.33,48,15,21.94,AR,1612151816
535,maxixe,-23.8597,35.3472,78.49,88,4,7.87,MZ,1612151816
536,maturin,9.75,-63.1767,69.62,97,15,4.52,VE,1612151664
537,guanay,-15.4975,-67.8797,74.19,83,100,1.52,BO,1612151817
538,esperance,-33.8667,121.9,78.8,38,40,12.66,AU,1612151817
539,tilichiki,60.4667,166.1,0.52,94,100,13.4,RU,1612151817
540,yulara,-25.2406,130.9889,95.0,20,40,19.57,AU,1612151817
541,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
542,taksimo,56.3444,114.8794,-20.06,76,98,2.01,RU,1612151817
543,bambanglipuro,-7.95,110.2833,86.45,63,98,5.23,ID,1612151817
544,arraial%20do%20cabo,-22.9661,-42.0278,76.37,86,100,25.37,BR,1612151462
545,san%20quintin,30.4833,-115.95,59.27,66,98,7.94,MX,1612151553
546,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
547,victor%20harbor,-35.5667,138.6167,68.0,68,34,5.01,AU,1612151818
548,comodoro%20rivadavia,-45.8667,-67.5,62.6,59,0,5.75,AR,1612151777
549,qena,26.1615,32.7183,50.0,46,0,2.3,EG,1612151818
550,henties%20bay,-22.116,14.2845,66.99,85,100,5.41,NA,1612151818
551,saint-philippe,-21.3585,55.7679,84.2,51,0,8.05,RE,1612151818
552,vestmannaeyjar,63.4427,-20.2734,33.69,86,57,17.49,IS,1612151819
553,conceicao%20do%20araguaia,-8.2578,-49.2647,74.57,86,0,1.52,BR,1612151819
554,tigil,57.8,158.6667,-1.07,92,100,15.95,RU,1612151819
555,nerchinsk,51.9833,116.5833,-18.71,83,99,1.21,RU,1612151819
556,karatu,-3.3333,35.6667,57.63,69,69,3.42,TZ,1612151656
557,puerto%20ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612151735
558,flinders,-34.5833,150.8552,84.0,66,56,4.0,AU,1612151819
559,balakhninskiy,58.0106,114.2769,-27.29,77,100,2.48,RU,1612151820
560,bairiki,1.3292,172.9752,86.0,70,20,11.5,KI,1612151820
561,east%20london,-33.0153,27.9116,66.2,94,75,19.57,ZA,1612151775
562,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
563,ajdabiya,30.7554,20.2263,59.49,58,53,9.44,LY,1612151820
564,lasa,46.6166,10.7002,37.0,100,90,4.61,IT,1612151586
565,villazon,-22.0866,-65.5942,54.27,71,9,13.51,BO,1612151820
566,esmeraldas,-19.7625,-44.3139,75.2,60,0,5.75,BR,1612151821
567,waitati,-45.75,170.5667,66.99,57,88,15.99,NZ,1612151821
568,takoradi,4.8845,-1.7554,78.4,88,31,7.74,GH,1612151821
569,puerto%20ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612151735
570,pangai,-19.8,-174.35,82.4,83,90,9.22,TO,1612151821
571,chilmari,25.5559,89.6715,67.87,34,0,4.16,BD,1612151822
572,ahar,38.4774,47.0699,29.32,93,7,6.24,IR,1612151822
573,port%20alfred,-33.5906,26.891,66.99,85,89,5.01,ZA,1612151746
574,hun,29.1268,15.9477,54.03,61,60,6.89,LY,1612151595
575,lircay,-12.9896,-74.7205,49.78,76,88,3.69,PE,1612151822
576,wasilla,61.5814,-149.4394,3.99,85,20,1.83,US,1612151620
577,saint%20george,37.1041,-113.5841,50.0,46,1,4.61,US,1612151542
578,aripuana,-9.1667,-60.6333,73.94,94,85,1.7,BR,1612151823
579,ribeira%20grande,38.5167,-28.7,63.34,84,99,33.13,PT,1612151732
580,svetlyy,54.675,20.1347,28.99,93,75,11.18,RU,1612151823
581,ostrovnoy,68.0531,39.5131,11.55,94,87,3.69,RU,1612151823
582,arraial%20do%20cabo,-22.9661,-42.0278,76.37,86,100,25.37,BR,1612151462
583,arraial%20do%20cabo,-22.9661,-42.0278,76.37,86,100,25.37,BR,1612151462
584,waingapu,-9.6567,120.2641,84.88,72,21,16.13,ID,1612151823
585,flin%20flon,54.7682,-101.865,0.93,94,19,2.51,CA,1612151823
586,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
587,todos%20santos,23.45,-110.2167,66.0,86,100,7.52,MX,1612151824
588,limoges,45.75,1.3333,48.2,93,90,9.57,FR,1612151824
589,ayan,56.45,138.1667,-20.74,72,98,12.5,RU,1612151824
590,san%20patricio,28.017,-97.5169,59.0,44,1,9.22,US,1612151778
591,iskateley,67.6803,53.1512,13.14,96,100,12.68,RU,1612151824
592,betanzos,43.2804,-8.2147,57.99,77,75,12.66,ES,1612151824
593,chino%20valley,34.7575,-112.4538,37.4,70,1,4.36,US,1612151825
594,clyde%20river,70.4692,-68.5914,-4.0,84,90,23.02,CA,1612151805
595,manavalakurichi,8.1333,77.3,86.0,66,75,4.61,IN,1612151825
596,gasa,31.5,34.4667,48.99,100,0,3.0,PS,1612151537
597,coria,39.9879,-6.5377,51.01,88,20,7.0,ES,1612151825
598,itaituba,-4.2761,-55.9836,75.2,100,40,1.41,BR,1612151825
